date_played,home_team,home_points,away_team,away_points,point_margin,home_srs,away_srs
2022-12-12,Portland Trailblazers,133,Minnesota Timberwolves,112,21,0.08,-1.43
2022-12-12,Los Angeles Clippers,113,Boston Celtics,93,20,-0.89,6.11
2022-12-11,New Orleans Pelicans,129,Phoenix Suns,124,5,4.93,3.75
2022-12-11,Detroit Pistons,117,Los Angeles Lakers,124,-7,-6.57,-2.49
2022-12-11,New York Knicks,112,Sacramento Kings,99,13,2.59,1.49
2022-12-11,Orlando Magic,111,Toronto Raptors,99,12,-2.56,1.11
2022-12-11,Philadelphia 76ers,131,Charlotte Hornets,113,18,3.57,-6.74
2022-12-11,Atlanta Hawks,123,Chicago Bulls,122,1,-0.43,-0.91
2022-12-11,Houston Rockets,97,Milwaukee Bucks,92,5,-5.06,2.75
2022-12-10,Miami Heat,111,San Antonio Spurs,115,-4,-1.78,-9.12
2022-12-10,Indiana Pacers,133,Brooklyn Nets,136,-3,-1.46,3.35
2022-12-10,Washington Wizards,107,Los Angeles Clippers,114,-7,-2.31,-0.89
2022-12-10,Cleveland Cavaliers,110,Oklahoma City Thunder,102,8,5.46,-0.92
2022-12-10,Chicago Bulls,144,Dallas Mavericks,115,29,-0.91,2.45
2022-12-10,Golden State Warriors,123,Boston Celtics,107,16,-0.6,6.11
2022-12-10,Denver Nuggets,115,Utah Jazz,110,5,1.05,0.95
2022-12-10,Portland Trailblazers,124,Minnesota Timberwolves,118,6,0.08,-1.43
2022-12-09,Charlotte Hornets,102,New York Knicks,121,-19,-6.74,2.59
2022-12-09,Indiana Pacers,121,Washington Wizards,111,10,-1.46,-2.31
2022-12-09,Orlando Magic,113,Toronto Raptors,109,4,-2.56,1.11
2022-12-09,Brooklyn Nets,120,Atlanta Hawks,116,4,3.35,-0.43
2022-12-09,Cleveland Cavaliers,95,Sacramento Kings,106,-11,5.46,1.49
2022-12-09,Philadelphia 76ers,133,Los Angeles Lakers,122,11,3.57,-2.49
2022-12-09,Memphis Grizzlies,114,Detroit Pistons,103,11,4.2,-6.57
2022-12-09,New Orleans Pelicans,128,Phoenix Suns,117,11,4.93,3.75
2022-12-09,Utah Jazz,108,Minnesota Timberwolves,118,-10,0.95,-1.43
2022-12-09,Dallas Mavericks,105,Milwaukee Bucks,106,-1,2.45,2.75
2022-12-08,Miami Heat,115,Los Angeles Clippers,110,5,-1.78,-0.89
2022-12-08,San Antonio Spurs,118,Houston Rockets,109,9,-9.12,-5.06
2022-12-08,Portland Trailblazers,120,Denver Nuggets,121,-1,0.08,1.05
2022-12-07,Orlando Magic,116,Los Angeles Clippers,111,5,-2.56,-0.89
2022-12-07,Brooklyn Nets,122,Charlotte Hornets,116,6,3.35,-6.74
2022-12-07,New York Knicks,113,Atlanta Hawks,89,24,2.59,-0.43
2022-12-07,Toronto Raptors,126,Los Angeles Lakers,113,13,1.11,-2.49
2022-12-07,Chicago Bulls,115,Washington Wizards,111,4,-0.91,-2.31
2022-12-07,Memphis Grizzlies,123,Oklahoma City Thunder,102,21,4.2,-0.92
2022-12-07,Milwaukee Bucks,126,Sacramento Kings,113,13,2.75,1.49
2022-12-07,Minnesota Timberwolves,121,Indiana Pacers,115,6,-1.43,-1.46
2022-12-07,New Orleans Pelicans,104,Detroit Pistons,98,6,4.93,-6.57
2022-12-07,Utah Jazz,124,Golden State Warriors,123,1,0.95,-0.6
2022-12-07,Phoenix Suns,98,Boston Celtics,125,-27,3.75,6.11
2022-12-06,Cleveland Cavaliers,116,Los Angeles Lakers,102,14,5.46,-2.49
2022-12-06,Miami Heat,96,Detroit Pistons,116,-20,-1.78,-6.57
2022-12-06,Denver Nuggets,115,Dallas Mavericks,116,-1,1.05,2.45
2022-12-05,Charlotte Hornets,117,Los Angeles Clippers,119,-2,-6.74,-0.89
2022-12-05,Orlando Magic,102,Milwaukee Bucks,109,-7,-2.56,2.75
2022-12-05,Atlanta Hawks,114,Oklahoma City Thunder,121,-7,-0.43,-0.92
2022-12-05,Toronto Raptors,110,Boston Celtics,116,-6,1.11,6.11
2022-12-05,Houston Rockets,132,Philadelphia 76ers,123,9,-5.06,3.57
2022-12-05,Memphis Grizzlies,101,Miami Heat,93,8,4.2,-1.78
2022-12-05,Dallas Mavericks,130,Phoenix Suns,111,19,2.45,3.75
