date_played,home_team,home_points,away_team,away_points,point_margin,home_srs,away_srs
2022-11-07,Los Angeles Clippers,119,Cleveland Cavaliers,117,2,-0.89,5.46
2022-11-06,Los Angeles Lakers,100,Cleveland Cavaliers,114,-14,-2.49,5.46
2022-11-06,Toronto Raptors,113,Chicago Bulls,104,9,1.11,-0.91
2022-11-06,Memphis Grizzlies,103,Washington Wizards,97,6,4.2,-2.31
2022-11-06,Los Angeles Clippers,102,Utah Jazz,110,-8,-0.89,0.95
2022-11-05,Orlando Magic,123,Sacramento Kings,126,-3,-2.56,1.49
2022-11-05,Charlotte Hornets,94,Brooklyn Nets,98,-4,-6.74,3.35
2022-11-05,Atlanta Hawks,124,New Orleans Pelicans,121,3,-0.43,4.93
2022-11-05,New York Knicks,118,Boston Celtics,133,-15,2.59,6.11
2022-11-05,Milwaukee Bucks,108,Oklahoma City Thunder,94,14,2.75,-0.92
2022-11-05,Minnesota Timberwolves,129,Houston Rockets,117,12,-1.43,-5.06
2022-11-05,Denver Nuggets,126,San Antonio Spurs,101,25,1.05,-9.12
2022-11-05,Phoenix Suns,102,Portland Trailblazers,82,20,3.75,0.08
2022-11-04,Detroit Pistons,88,Cleveland Cavaliers,112,-24,-6.57,5.46
2022-11-04,Indiana Pacers,101,Miami Heat,99,2,-1.46,-1.78
2022-11-04,Philadelphia 76ers,104,New York Knicks,106,-2,3.57,2.59
2022-11-04,Washington Wizards,86,Brooklyn Nets,128,-42,-2.31,3.35
2022-11-04,Boston Celtics,123,Chicago Bulls,119,4,6.11,-0.91
2022-11-04,Memphis Grizzlies,130,Charlotte Hornets,99,31,4.2,-6.74
2022-11-04,San Antonio Spurs,106,Los Angeles Clippers,113,-7,-9.12,-0.89
2022-11-04,Dallas Mavericks,111,Toronto Raptors,110,1,2.45,1.11
2022-11-04,New Orleans Pelicans,114,Golden State Warriors,105,9,4.93,-0.6
2022-11-04,Minnesota Timberwolves,102,Milwaukee Bucks,115,-13,-1.43,2.75
2022-11-04,Phoenix Suns,106,Portland Trailblazers,108,-2,3.75,0.08
2022-11-04,Los Angeles Lakers,116,Utah Jazz,130,-14,-2.49,0.95
2022-11-03,Orlando Magic,130,Golden State Warriors,129,1,-2.56,-0.6
2022-11-03,Oklahoma City Thunder,110,Denver Nuggets,122,-12,-0.92,1.05
2022-11-02,Philadelphia 76ers,111,Washington Wizards,121,-10,3.57,-2.31
2022-11-02,Cleveland Cavaliers,114,Boston Celtics,113,1,5.46,6.11
2022-11-02,Miami Heat,110,Sacramento Kings,107,3,-1.78,1.49
2022-11-02,New York Knicks,99,Atlanta Hawks,112,-13,2.59,-0.43
2022-11-02,Chicago Bulls,106,Charlotte Hornets,88,18,-0.91,-6.74
2022-11-02,Houston Rockets,101,Los Angeles Clippers,109,-8,-5.06,-0.89
2022-11-02,Milwaukee Bucks,116,Detroit Pistons,91,25,2.75,-6.57
2022-11-02,San Antonio Spurs,100,Toronto Raptors,143,-43,-9.12,1.11
2022-11-02,Dallas Mavericks,103,Utah Jazz,100,3,2.45,0.95
2022-11-02,Portland Trailblazers,106,Memphis Grizzlies,111,-5,0.08,4.2
2022-11-02,Los Angeles Lakers,120,New Orleans Pelicans,117,3,-2.49,4.93
2022-11-01,Brooklyn Nets,99,Chicago Bulls,108,-9,3.35,-0.91
2022-11-01,Miami Heat,116,Golden State Warriors,109,7,-1.78,-0.6
2022-11-01,Oklahoma City Thunder,116,Orlando Magic,108,8,-0.92,-2.56
2022-11-01,Phoenix Suns,116,Minnesota Timberwolves,107,9,3.75,-1.43
2022-10-31,Charlotte Hornets,108,Sacramento Kings,115,-7,-6.74,1.49
2022-10-31,Washington Wizards,111,Philadelphia 76ers,118,-7,-2.31,3.57
2022-10-31,Brooklyn Nets,116,Indiana Pacers,109,7,3.35,-1.46
2022-10-31,Toronto Raptors,139,Atlanta Hawks,109,30,1.11,-0.43
2022-10-31,Milwaukee Bucks,110,Detroit Pistons,108,2,2.75,-6.57
2022-10-31,Utah Jazz,121,Memphis Grizzlies,105,16,0.95,4.2
2022-10-31,Los Angeles Clippers,95,Houston Rockets,93,2,-0.89,-5.06
2022-10-30,Los Angeles Clippers,91,New Orleans Pelicans,112,-21,-0.89,4.93
2022-10-30,Boston Celtics,112,Washington Wizards,94,18,6.11,-2.31
2022-10-30,Cleveland Cavaliers,121,New York Knicks,108,13,5.46,2.59
2022-10-30,Detroit Pistons,128,Golden State Warriors,114,14,-6.57,-0.6
2022-10-30,San Antonio Spurs,107,Minnesota Timberwolves,98,9,-9.12,-1.43
2022-10-30,Dallas Mavericks,114,Orlando Magic,105,9,2.45,-2.56
2022-10-30,Phoenix Suns,124,Houston Rockets,109,15,3.75,-5.06
2022-10-30,Los Angeles Lakers,121,Denver Nuggets,110,11,-2.49,1.05
2022-10-29,Sacramento Kings,119,Miami Heat,113,6,1.49,-1.78
2022-10-29,Charlotte Hornets,120,Golden State Warriors,113,7,-6.74,-0.6
2022-10-29,Brooklyn Nets,116,Indiana Pacers,125,-9,3.35,-1.46
2022-10-29,Chicago Bulls,109,Philadelphia 76ers,114,-5,-0.91,3.57
2022-10-29,Milwaukee Bucks,123,Atlanta Hawks,115,8,2.75,-0.43
2022-10-29,Dallas Mavericks,111,Oklahoma City Thunder,117,-6,2.45,-0.92
2022-10-29,Utah Jazz,124,Memphis Grizzlies,123,1,0.95,4.2
2022-10-28,Detroit Pistons,112,Atlanta Hawks,136,-24,-6.57,-0.43
2022-10-28,Orlando Magic,113,Charlotte Hornets,93,20,-2.56,-6.74
2022-10-28,Boston Celtics,123,Cleveland Cavaliers,132,-9,6.11,5.46
2022-10-28,Toronto Raptors,90,Philadelphia 76ers,112,-22,1.11,3.57
2022-10-28,Washington Wizards,117,Indiana Pacers,127,-10,-2.31,-1.46
2022-10-28,Milwaukee Bucks,119,New York Knicks,108,11,2.75,2.59
2022-10-28,Minnesota Timberwolves,111,Los Angeles Lakers,102,9,-1.43,-2.49
2022-10-28,San Antonio Spurs,129,Chicago Bulls,124,5,-9.12,-0.91
2022-10-28,Denver Nuggets,117,Utah Jazz,101,16,1.05,0.95
2022-10-28,Phoenix Suns,124,New Orleans Pelicans,111,13,3.75,4.93
2022-10-28,Portland Trailblazers,125,Houston Rockets,111,14,0.08,-5.06
2022-10-27,Brooklyn Nets,125,Dallas Mavericks,129,-4,3.35,2.45
2022-10-27,Oklahoma City Thunder,118,Los Angeles Clippers,110,8,-0.92,-0.89
2022-10-27,Golden State Warriors,123,Miami Heat,110,13,-0.6,-1.78
2022-10-27,Sacramento Kings,110,Memphis Grizzlies,125,-15,1.49,4.2
2022-10-26,Cleveland Cavaliers,103,Orlando Magic,92,11,5.46,-2.56
2022-10-26,Detroit Pistons,113,Atlanta Hawks,118,-5,-6.57,-0.43
2022-10-26,New York Knicks,134,Charlotte Hornets,131,3,2.59,-6.74
2022-10-26,Toronto Raptors,119,Philadelphia 76ers,109,10,1.11,3.57
2022-10-26,Milwaukee Bucks,110,Brooklyn Nets,99,11,2.75,3.35
2022-10-26,Chicago Bulls,124,Indiana Pacers,109,15,-0.91,-1.46
2022-10-26,Minnesota Timberwolves,134,San Antonio Spurs,122,12,-1.43,-9.12
2022-10-26,Utah Jazz,109,Houston Rockets,101,8,0.95,-5.06
2022-10-26,Denver Nuggets,110,Los Angeles Lakers,99,11,1.05,-2.49
2022-10-26,Portland Trailblazers,98,Miami Heat,119,-21,0.08,-1.78
2022-10-25,Washington Wizards,120,Detroit Pistons,99,21,-2.31,-6.57
2022-10-25,New Orleans Pelicans,113,Dallas Mavericks,111,2,4.93,2.45
2022-10-25,Oklahoma City Thunder,108,Los Angeles Clippers,94,14,-0.92,-0.89
2022-10-25,Phoenix Suns,134,Golden State Warriors,105,29,3.75,-0.6
2022-10-24,Philadelphia 76ers,120,Indiana Pacers,106,14,3.57,-1.46
2022-10-24,Miami Heat,90,Toronto Raptors,98,-8,-1.78,1.11
2022-10-24,New York Knicks,115,Orlando Magic,102,13,2.59,-2.56
2022-10-24,Chicago Bulls,120,Boston Celtics,102,18,-0.91,6.11
2022-10-24,Houston Rockets,114,Utah Jazz,108,6,-5.06,0.95
2022-10-24,Memphis Grizzlies,134,Brooklyn Nets,124,10,4.2,3.35
2022-10-24,Minnesota Timberwolves,106,San Antonio Spurs,115,-9,-1.43,-9.12
2022-10-24,Portland Trailblazers,135,Denver Nuggets,110,25,0.08,1.05
2022-10-23,Los Angeles Lakers,104,Portland Trailblazers,106,-2,-2.49,0.08
2022-10-23,Atlanta Hawks,109,Charlotte Hornets,126,-17,-0.43,-6.74
2022-10-23,Cleveland Cavaliers,117,Washington Wizards,107,10,5.46,-2.31
2022-10-23,New Orleans Pelicans,121,Utah Jazz,122,-1,4.93,0.95
2022-10-23,Oklahoma City Thunder,106,Minnesota Timberwolves,116,-10,-0.92,-1.43
2022-10-23,Golden State Warriors,130,Sacramento Kings,125,5,-0.6,1.49
2022-10-23,Los Angeles Clippers,95,Phoenix Suns,112,-17,-0.89,3.75
2022-10-22,Philadelphia 76ers,105,San Antonio Spurs,114,-9,3.57,-9.12
2022-10-22,Indiana Pacers,124,Detroit Pistons,115,9,-1.46,-6.57
2022-10-22,Orlando Magic,120,Boston Celtics,126,-6,-2.56,6.11
2022-10-22,Miami Heat,112,Toronto Raptors,109,3,-1.78,1.11
2022-10-22,Chicago Bulls,96,Cleveland Cavaliers,128,-32,-0.91,5.46
2022-10-22,Milwaukee Bucks,125,Houston Rockets,105,20,2.75,-5.06
2022-10-22,Dallas Mavericks,137,Memphis Grizzlies,96,41,2.45,4.2
2022-10-22,Denver Nuggets,122,Oklahoma City Thunder,117,5,1.05,-0.92
2022-10-22,Sacramento Kings,109,Los Angeles Clippers,111,-2,1.49,-0.89
2022-10-21,Charlotte Hornets,112,New Orleans Pelicans,124,-12,-6.74,4.93
2022-10-21,Indiana Pacers,134,San Antonio Spurs,137,-3,-1.46,-9.12
2022-10-21,Washington Wizards,102,Chicago Bulls,100,2,-2.31,-0.91
2022-10-21,Atlanta Hawks,108,Orlando Magic,98,10,-0.43,-2.56
2022-10-21,Brooklyn Nets,109,Toronto Raptors,105,4,3.35,1.11
2022-10-21,Miami Heat,104,Boston Celtics,111,-7,-1.78,6.11
2022-10-21,New York Knicks,130,Detroit Pistons,106,24,2.59,-6.57
2022-10-21,Houston Rockets,122,Memphis Grizzlies,129,-7,-5.06,4.2
2022-10-21,Minnesota Timberwolves,126,Utah Jazz,132,-6,-1.43,0.95
2022-10-21,Golden State Warriors,123,Denver Nuggets,128,-5,-0.6,1.05
2022-10-21,Portland Trailblazers,113,Phoenix Suns,111,2,0.08,3.75
2022-10-20,Philadelphia 76ers,88,Milwaukee Bucks,90,-2,3.57,2.75
2022-10-20,Los Angeles Lakers,97,Los Angeles Clippers,103,-6,-2.49,-0.89
2022-10-19,Detroit Pistons,113,Orlando Magic,109,4,-6.57,-2.56
2022-10-19,Indiana Pacers,107,Washington Wizards,114,-7,-1.46,-2.31
2022-10-19,Atlanta Hawks,117,Houston Rockets,107,10,-0.43,-5.06
2022-10-19,Brooklyn Nets,108,New Orleans Pelicans,130,-22,3.35,4.93
2022-10-19,Miami Heat,108,Chicago Bulls,116,-8,-1.78,-0.91
2022-10-19,Toronto Raptors,108,Cleveland Cavaliers,105,3,1.11,5.46
2022-10-19,Memphis Grizzlies,115,New York Knicks,112,3,4.2,2.59
2022-10-19,Minnesota Timberwolves,115,Oklahoma City Thunder,108,7,-1.43,-0.92
2022-10-19,San Antonio Spurs,102,Charlotte Hornets,129,-27,-9.12,-6.74
2022-10-19,Utah Jazz,123,Denver Nuggets,102,21,0.95,1.05
2022-10-19,Phoenix Suns,107,Dallas Mavericks,105,2,3.75,2.45
2022-10-19,Sacramento Kings,108,Portland Trailblazers,115,-7,1.49,0.08
2022-10-18,Boston Celtics,126,Philadelphia 76ers,117,9,6.11,3.57
2022-10-18,Golden State Warriors,123,Los Angeles Lakers,109,14,-0.6,-2.49
2022-10-14,Indiana Pacers,114,Houston Rockets,122,-8,-1.46,-5.06
2022-10-14,Orlando Magic,114,Cleveland Cavaliers,108,6,-2.56,5.46
2022-10-14,Toronto Raptors,137,Boston Celtics,134,3,1.11,6.11
2022-10-14,New York Knicks,105,Washington Wizards,89,16,2.59,-2.31
2022-10-14,Minnesota Timberwolves,102,Brooklyn Nets,112,-10,-1.43,3.35
2022-10-14,New Orleans Pelicans,120,Atlanta Hawks,111,9,4.93,-0.43
2022-10-14,Utah Jazz,101,Dallas Mavericks,115,-14,0.95,2.45
2022-10-14,Golden State Warriors,112,Denver Nuggets,119,-7,-0.6,1.05
2022-10-14,Sacramento Kings,133,Los Angeles Lakers,86,47,1.49,-2.49
2022-10-13,Detroit Pistons,111,Memphis Grizzlies,126,-15,-6.57,4.2
2022-10-13,San Antonio Spurs,112,Oklahoma City Thunder,118,-6,-9.12,-0.92
2022-10-12,Cleveland Cavaliers,105,Atlanta Hawks,99,6,5.46,-0.43
2022-10-12,Indiana Pacers,109,New York Knicks,100,9,-1.46,2.59
2022-10-12,Philadelphia 76ers,99,Charlotte Hornets,94,5,3.57,-6.74
2022-10-12,Miami Heat,120,New Orleans Pelicans,103,17,-1.78,4.93
2022-10-12,Milwaukee Bucks,97,Brooklyn Nets,107,-10,2.75,3.35
2022-10-12,Los Angeles Lakers,113,Minnesota Timberwolves,118,-5,-2.49,-1.43
2022-10-12,Phoenix Suns,104,Sacramento Kings,105,-1,3.75,1.49
2022-10-12,Los Angeles Clippers,115,Denver Nuggets,126,-11,-0.89,1.05
2022-10-11,Detroit Pistons,99,Oklahoma City Thunder,115,-16,-6.57,-0.92
2022-10-11,Orlando Magic,109,Memphis Grizzlies,105,4,-2.56,4.2
2022-10-11,Chicago Bulls,127,Milwaukee Bucks,104,23,-0.91,2.75
2022-10-11,Utah Jazz,104,San Antonio Spurs,111,-7,0.95,-9.12
2022-10-11,Golden State Warriors,131,Portland Trailblazers,98,33,-0.6,0.08
2022-10-10,Charlotte Hornets,107,Washington Wizards,116,-9,-6.74,-2.31
2022-10-10,Cleveland Cavaliers,97,Philadelphia 76ers,113,-16,5.46,3.57
2022-10-10,Miami Heat,118,Houston Rockets,110,8,-1.78,-5.06
2022-10-10,Denver Nuggets,107,Phoenix Suns,105,2,1.05,3.75
2022-10-09,Toronto Raptors,98,Chicago Bulls,115,-17,1.11,-0.91
2022-10-09,San Antonio Spurs,97,New Orleans Pelicans,111,-14,-9.12,4.93
2022-10-09,Golden State Warriors,121,Los Angeles Lakers,124,-3,-0.6,-2.49
2022-10-09,Sacramento Kings,126,Portland Trailblazers,94,32,1.49,0.08
2022-10-09,Los Angeles Clippers,117,Minnesota Timberwolves,119,-2,-0.89,-1.43
2022-10-08,Milwaukee Bucks,109,Atlanta Hawks,118,-9,2.75,-0.43
2022-10-07,Charlotte Hornets,103,Boston Celtics,112,-9,-6.74,6.11
2022-10-07,New York Knicks,131,Indiana Pacers,114,17,2.59,-1.46
2022-10-07,Chicago Bulls,131,Denver Nuggets,113,18,-0.91,1.05
2022-10-07,Houston Rockets,116,Toronto Raptors,100,16,-5.06,1.11
2022-10-07,Memphis Grizzlies,108,Miami Heat,111,-3,4.2,-1.78
2022-10-07,New Orleans Pelicans,107,Detroit Pistons,101,6,4.93,-6.57
2022-10-07,Dallas Mavericks,105,Orlando Magic,110,-5,2.45,-2.56
2022-10-06,Atlanta Hawks,123,Milwaukee Bucks,113,10,-0.43,2.75
2022-10-06,Brooklyn Nets,80,Miami Heat,109,-29,3.35,-1.78
2022-10-06,San Antonio Spurs,99,Orlando Magic,102,-3,-9.12,-2.56
2022-10-06,Los Angeles Lakers,99,Minnesota Timberwolves,114,-15,-2.49,-1.43
2022-10-05,Charlotte Hornets,97,Indiana Pacers,122,-25,-6.74,-1.46
2022-10-05,Philadelphia 76ers,113,Cleveland Cavaliers,112,1,3.57,5.46
2022-10-05,Boston Celtics,119,Toronto Raptors,125,-6,6.11,1.11
2022-10-05,Oklahoma City Thunder,96,Dallas Mavericks,98,-2,-0.92,2.45
2022-10-05,Los Angeles Lakers,115,Phoenix Suns,119,-4,-2.49,3.75
2022-10-04,New York Knicks,117,Detroit Pistons,96,21,2.59,-6.57
2022-10-04,Miami Heat,111,Minnesota Timberwolves,121,-10,-1.78,-1.43
2022-10-04,Chicago Bulls,125,New Orleans Pelicans,129,-4,-0.91,4.93
2022-10-04,Portland Trailblazers,101,Utah Jazz,118,-17,0.08,0.95
2022-10-03,Brooklyn Nets,108,Philadelphia 76ers,127,-19,3.35,3.57
2022-10-03,Memphis Grizzlies,109,Orlando Magic,97,12,4.2,-2.56
2022-10-03,Denver Nuggets,101,Oklahoma City Thunder,112,-11,1.05,-0.92
2022-10-03,Los Angeles Lakers,75,Sacramento Kings,105,-30,-2.49,1.49
2022-10-03,Los Angeles Clippers,102,Portland Trailblazers,97,5,-0.89,0.08
2022-10-02,Golden State Warriors,104,Washington Wizards,95,9,-0.6,-2.31
2022-10-02,Boston Celtics,134,Charlotte Hornets,93,41,6.11,-6.74
2022-10-02,Toronto Raptors,114,Utah Jazz,82,32,1.11,0.95
2022-10-02,Houston Rockets,134,San Antonio Spurs,96,38,-5.06,-9.12
2022-10-01,Milwaukee Bucks,102,Memphis Grizzlies,107,-5,2.75,4.2
2022-09-30,Washington Wizards,87,Golden State Warriors,96,-9,-2.31,-0.6
